t,V,m,h,n
6.831431038121322,-72.91776448369144,0.019486545416297525,0.29183678122526163,0.5559035956065304
7.063384662955164,-72.54802227592775,0.02037536725170347,0.3070212999725038,0.542164197084047
7.307411928624414,-72.13892606340627,0.02140523941960923,0.32213299377544846,0.528482775636653
7.563922022369526,-71.68796299093965,0.022599709100230254,0.33708374824453163,0.5149348740330282
7.833782141723903,-71.19221489459784,0.023988192139333484,0.351802937127349,0.5015800405313675
8.118474110148698,-70.64809307210449,0.025608300385947153,0.3662366126174165,0.4884624056099366
8.420538111104689,-70.05050865987153,0.02751087553370001,0.3803552487805719,0.475603184851398
8.744473667654729,-69.39108570864761,0.029770543872041217,0.39416816125438375,0.46298644817574064
9.099242142221458,-68.65306702857465,0.032514193696033714,0.4077702663772376,0.45051371465513035
9.500860304529336,-67.80632329106601,0.0359652872023337,0.4213151012537425,0.4380219931506279
9.891171427704347,-66.98090547872944,0.03966931085297159,0.43266909854309427,0.4274625155576277
10.2745518641053,-66.17554017620267,0.04363559223989181,0.44215968510254733,0.4185301253969509
10.656012940040597,-65.38563596191625,0.04789170894755623,0.4500394488319382,0.4109817861910402
11.035680116276799,-64.61507757692964,0.05241902196889201,0.4564023335758797,0.4047189810027153
11.415330006142156,-63.862583761352354,0.057221628350643566,0.4613548386326249,0.3996272364658858
11.795550303918054,-63.127555028072095,0.06229663950340774,0.46496470646919946,0.3956262428531511
12.177437892741212,-62.40662893406548,0.06765829766107483,0.46728968577332214,0.39264154625831815
12.561638327850918,-61.69542623630484,0.07333020817094521,0.4683670812500234,0.39061562725260385
12.948851637672334,-60.987202370348434,0.07935874572348559,0.46821825775421183,0.38950248644880137
13.339467060663884,-60.27272487537485,0.08581813882880036,0.4668458507429878,0.3892704141274546
13.733656949373733,-59.53847902975852,0.0928296925301515,0.46423098148601083,0.3899029593693891
14.131154975355491,-58.763847406951896,0.10059143518561395,0.460326625313103,0.3914032157182687
14.53120888014862,-57.91449341263657,0.10944424861347361,0.45504178658145844,0.39380313337762834
14.932677998771958,-56.92690144475632,0.120023837421385,0.44820069968684145,0.39718748070755616
15.335495891813114,-55.663570643369376,0.13369705356782235,0.43940753838015667,0.40177099118025533
15.750151787441089,-53.717370938949436,0.15445563575087606,0.4273816241625197,0.4082709394043873
16.032226092706797,-51.48722405396846,0.1773731373388494,0.4162103049555035,0.4144350650107251
16.237142081716197,-48.743189659454174,0.20428912760736997,0.405163318264542,0.42056057288323145
16.392082591492173,-45.25519763784144,0.23679685024906855,0.3936383243858167,0.4268952013405972
16.51387408432944,-40.709552659046466,0.27693786318221103,0.38090808575851903,0.43375351033801285
16.615405719815193,-34.504542529430644,0.3287608895232385,0.36577438620072933,0.4417461737186975
16.695706234134054,-26.774636749240713,0.38999468064331116,0.34922149923579915,0.4506062031728758
16.755236902646157,-18.547130047270755,0.4524505320613696,0.33393881888788224,0.45947416502424593
16.802365573222154,-10.159918046804163,0.5142985803606527,0.3204911642744487,0.46843801221547593
